group_label,agent,model,runs,tasks,axis,value,label
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,exploration_diversity,0.5925,Exploration
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,exploration_diversity,0.6668,Exploration
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,exploration_diversity,0.5851,Exploration
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,exploration_diversity,0.5642,Exploration
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,exploration_diversity,0.8173,Exploration
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,exploration_diversity,0.9479,Exploration
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,exploration_diversity,0.6143,Exploration
codex / gpt-5@openai,codex,gpt-5@openai,439,89,exploration_diversity,0.3685,Exploration
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,exploration_diversity,0.5967,Exploration
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,exploration_diversity,0.4158,Exploration
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,exploration_diversity,0.5387,Exploration
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,exploration_diversity,0.7467,Exploration
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,exploration_diversity,0.5691,Exploration
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,exploration_diversity,0.4186,Exploration
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,exploration_diversity,1.0,Exploration
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,exploration_diversity,0.5484,Exploration
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,exploration_diversity,0.4046,Exploration
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,exploration_diversity,0.8262,Exploration
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,exploration_diversity,0.586,Exploration
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,exploration_diversity,0.5785,Exploration
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,exploration_diversity,0.9258,Exploration
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,exploration_diversity,0.5436,Exploration
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,exploration_diversity,0.7598,Exploration
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,exploration_diversity,0.5455,Exploration
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,exploration_diversity,0.543,Exploration
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,exploration_diversity,0.4195,Exploration
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,exploration_diversity,0.9085,Exploration
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,exploration_diversity,0.1708,Exploration
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,exploration_diversity,0.5989,Exploration
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,exploration_diversity,0.3368,Exploration
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,exploration_diversity,0.5441,Exploration
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,exploration_diversity,0.364,Exploration
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,exploration_diversity,0.5617,Exploration
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,exploration_diversity,0.6518,Exploration
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,exploration_diversity,0.5762,Exploration
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,exploration_diversity,0.5848,Exploration
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,exploration_diversity,0.8136,Exploration
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,exploration_diversity,0.7364,Exploration
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,exploration_diversity,0.8834,Exploration
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,exploration_diversity,0.3679,Exploration
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,exploration_diversity,0.4516,Exploration
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,exploration_diversity,0.8218,Exploration
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,exploration_diversity,0.3793,Exploration
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,exploration_diversity,0.558,Exploration
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,exploration_diversity,0.5491,Exploration
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,exploration_diversity,0.5769,Exploration
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,exploration_diversity,0.4696,Exploration
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,exploration_diversity,0.1505,Exploration
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,exploration_diversity,0.6429,Exploration
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,exploration_diversity,0.5914,Exploration
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,exploration_diversity,0.4471,Exploration
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,exploration_diversity,0.3742,Exploration
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,exploration_diversity,0.7263,Exploration
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,exploration_diversity,0.6512,Exploration
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,exploration_diversity,0.561,Exploration
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,exploration_diversity,0.2632,Exploration
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,exploration_diversity,0.6008,Exploration
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,exploration_diversity,0.4812,Exploration
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,exploration_diversity,0.2301,Exploration
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,exploration_diversity,0.7347,Exploration
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,exploration_diversity,0.4785,Exploration
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,exploration_diversity,0.1074,Exploration
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,exploration_diversity,0.0,Exploration
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,exploration_diversity,0.4844,Exploration
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,search_read_intensity,0.5041,Search/Read
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,search_read_intensity,0.5616,Search/Read
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,search_read_intensity,0.1552,Search/Read
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,search_read_intensity,0.7937,Search/Read
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,search_read_intensity,0.5786,Search/Read
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,search_read_intensity,0.3995,Search/Read
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,search_read_intensity,0.526,Search/Read
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,search_read_intensity,0.4997,Search/Read
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,search_read_intensity,0.547,Search/Read
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,search_read_intensity,0.4874,Search/Read
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,search_read_intensity,0.4215,Search/Read
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,search_read_intensity,0.0676,Search/Read
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,search_read_intensity,0.6582,Search/Read
codex / gpt-5@openai,codex,gpt-5@openai,439,89,search_read_intensity,0.4563,Search/Read
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,search_read_intensity,0.9147,Search/Read
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,search_read_intensity,0.2824,Search/Read
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,search_read_intensity,0.5911,Search/Read
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,search_read_intensity,0.1716,Search/Read
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,search_read_intensity,0.4753,Search/Read
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,search_read_intensity,0.6463,Search/Read
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,search_read_intensity,0.116,Search/Read
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,search_read_intensity,0.4818,Search/Read
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,search_read_intensity,0.6196,Search/Read
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,search_read_intensity,0.3598,Search/Read
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,search_read_intensity,0.5528,Search/Read
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,search_read_intensity,0.3759,Search/Read
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,search_read_intensity,0.0269,Search/Read
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,search_read_intensity,0.5383,Search/Read
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,search_read_intensity,0.3712,Search/Read
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,search_read_intensity,0.5441,Search/Read
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,search_read_intensity,0.6417,Search/Read
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,search_read_intensity,0.5373,Search/Read
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,search_read_intensity,0.3533,Search/Read
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,search_read_intensity,0.0938,Search/Read
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,search_read_intensity,0.3015,Search/Read
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,search_read_intensity,0.583,Search/Read
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,search_read_intensity,0.638,Search/Read
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,search_read_intensity,0.8045,Search/Read
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,search_read_intensity,0.44,Search/Read
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,search_read_intensity,0.3489,Search/Read
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,search_read_intensity,0.5029,Search/Read
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,search_read_intensity,0.6297,Search/Read
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,search_read_intensity,0.4292,Search/Read
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,search_read_intensity,0.0,Search/Read
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,search_read_intensity,0.0673,Search/Read
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,search_read_intensity,0.6052,Search/Read
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,search_read_intensity,0.52,Search/Read
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,search_read_intensity,0.0915,Search/Read
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,search_read_intensity,0.7918,Search/Read
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,search_read_intensity,0.5624,Search/Read
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,search_read_intensity,0.5219,Search/Read
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,search_read_intensity,0.588,Search/Read
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,search_read_intensity,0.2344,Search/Read
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,search_read_intensity,0.2418,Search/Read
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,search_read_intensity,0.3457,Search/Read
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,search_read_intensity,0.4993,Search/Read
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,search_read_intensity,0.1129,Search/Read
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,search_read_intensity,0.3394,Search/Read
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,search_read_intensity,0.0889,Search/Read
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,search_read_intensity,0.03,Search/Read
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,search_read_intensity,0.4244,Search/Read
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,search_read_intensity,0.5474,Search/Read
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,search_read_intensity,0.3191,Search/Read
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,search_read_intensity,0.4058,Search/Read
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,search_read_intensity,0.5992,Search/Read
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,search_read_intensity,0.5561,Search/Read
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,search_read_intensity,0.5076,Search/Read
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,search_read_intensity,0.3305,Search/Read
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,search_read_intensity,1.0,Search/Read
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,search_read_intensity,0.1898,Search/Read
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,edit_eagerness,0.6476,Early Edit
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,edit_eagerness,0.6476,Early Edit
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,edit_eagerness,0.8287,Early Edit
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,edit_eagerness,0.6507,Early Edit
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,edit_eagerness,0.6476,Early Edit
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,edit_eagerness,0.5813,Early Edit
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,edit_eagerness,0.6476,Early Edit
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,edit_eagerness,0.6476,Early Edit
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,edit_eagerness,0.3811,Early Edit
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,edit_eagerness,0.9437,Early Edit
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,edit_eagerness,0.6476,Early Edit
codex / gpt-5@openai,codex,gpt-5@openai,439,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,edit_eagerness,0.6476,Early Edit
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,edit_eagerness,0.6476,Early Edit
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,edit_eagerness,0.7368,Early Edit
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,edit_eagerness,0.6476,Early Edit
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,edit_eagerness,0.7097,Early Edit
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,edit_eagerness,0.6476,Early Edit
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,edit_eagerness,0.4892,Early Edit
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,edit_eagerness,0.6476,Early Edit
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,edit_eagerness,0.6476,Early Edit
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,edit_eagerness,0.6445,Early Edit
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,edit_eagerness,0.6476,Early Edit
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,edit_eagerness,0.2995,Early Edit
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,edit_eagerness,0.6476,Early Edit
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,edit_eagerness,0.3092,Early Edit
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,edit_eagerness,0.6476,Early Edit
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,edit_eagerness,0.6476,Early Edit
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,edit_eagerness,0.6476,Early Edit
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,edit_eagerness,0.6476,Early Edit
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,edit_eagerness,0.8287,Early Edit
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,edit_eagerness,0.6476,Early Edit
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,edit_eagerness,0.6476,Early Edit
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,edit_eagerness,0.367,Early Edit
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,edit_eagerness,0.5663,Early Edit
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,edit_eagerness,0.7861,Early Edit
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,edit_eagerness,0.6476,Early Edit
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,edit_eagerness,0.7296,Early Edit
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,edit_eagerness,0.6476,Early Edit
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,edit_eagerness,0.6476,Early Edit
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,edit_eagerness,0.6476,Early Edit
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,edit_eagerness,0.6476,Early Edit
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,edit_eagerness,1.0,Early Edit
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,edit_eagerness,0.6476,Early Edit
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,edit_eagerness,0.6476,Early Edit
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,edit_eagerness,0.4881,Early Edit
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,edit_eagerness,0.7564,Early Edit
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,edit_eagerness,0.9984,Early Edit
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,edit_eagerness,0.6476,Early Edit
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,edit_eagerness,0.6476,Early Edit
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,edit_eagerness,0.0,Early Edit
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,edit_eagerness,0.6476,Early Edit
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,edit_eagerness,0.3541,Early Edit
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,edit_eagerness,0.6476,Early Edit
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,edit_eagerness,0.6476,Early Edit
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,edit_eagerness,0.6476,Early Edit
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,verification_intensity,0.3159,Verification
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,verification_intensity,0.3898,Verification
